"{3, {0, 0, 4}}","{0, 1551744, 2094912, 1134360, 334368, 60894, 7182, 522, 18}"
"{3, {0, 2, 2}}","{0, 15662592, 19443456, 9136800, 2131056, 264816, 16848, 432}"
"{3, {1, 1, 3}}","{0, 37532160, 50800896, 27146400, 7594752, 1221576, 114312, 5784, 120}"
"{4, {0, 0, 2}}","{0, 2743787520, 3824621568, 2140889088, 643779072, 116086272, 13128192, 932352, 39168, 768}"
"{3, {0, 4, 0}}","{0, 1938816, 2187936, 881424, 161712, 13680, 432}"
"{3, {1, 3, 1}}","{0, 42273792, 51996672, 24025536, 5438880, 642528, 37728, 864}"
"{4, {0, 2, 0}}","{0, 2956124160, 3897759744, 2006876160, 534483456, 80709120, 6982656, 322560, 6144}"
"{3, {2, 2, 2}}","{0, 113474304, 152993664, 80922096, 22135392, 3411468, 297252, 13572, 252}"
"{4, {1, 1, 1}}","{0, 44278824960, 61398872064, 34040469504, 10057952256, 1756325376, 187362816, 11990016, 420864, 6144}"
"{5, {0, 0, 0}}","{0, 237617971200, 343673303040, 202717824000, 65407180800, 12943123200, 1655781120, 139392000, 7603200, 249600, 3840}"
"{3, {4, 0, 2}}","{0, 8294400, 12322944, 7475472, 2461020, 486228, 59379, 4377, 177, 3}"
"{3, {2, 0, 4}}","{0, 8294400, 12322944, 7475472, 2461020, 486228, 59379, 4377, 177, 3}"
"{3, {3, 1, 3}}","{0, 44236800, 65938176, 39926400, 12982320, 2493216, 290268, 20052, 756, 12}"
"{4, {2, 0, 2}}","{0, 61780008960, 90329554944, 53936017920, 17583743232, 3490727040, 440902080, 35565120, 1767168, 48960, 576}"
"{3, {5, 1, 1}}","{0, 6635520, 9758592, 5950656, 2033688, 437424, 61518, 5514, 282, 6}"
"{3, {4, 2, 0}}","{0, 9507456, 12667968, 6696840, 1884912, 313626, 31398, 1758, 42}"
"{3, {6, 0, 0}}","{0, 184320, 266112, 163376, 59508, 14844, 2673, 339, 27, 1}"
"{3, {4, 2, 2}}","{0, 33177600, 49291776, 29901888, 9844080, 1944912, 237516, 17508, 708, 12}"
"{3, {3, 3, 1}}","{0, 50941440, 68016384, 35616480, 9680448, 1494744, 132168, 6216, 120}"
"{4, {4, 0, 2}}","{0, 114452766720, 176400119808, 113210632704, 40555603584, 9090731712, 1344034080, 133559280, 8841456, 373488, 9072, 96}"
"{3, {2, 4, 0}}","{0, 10720512, 13000320, 5903856, 1315656, 154296, 9144, 216}"
"{4, {3, 1, 1}}","{0, 248825364480, 361774743552, 214609075200, 69537409536, 13755329280, 1741541760, 142369920, 7294464, 213120, 2688}"
"{4, {2, 2, 0}}","{0, 67015434240, 92264749056, 50671097856, 14804826624, 2554712064, 269720064, 17178624, 608256, 9216}"
"{3, {0, 2, 4}}","{0, 9507456, 12667968, 6696840, 1884912, 313626, 31398, 1758, 42}"
"{3, {0, 4, 2}}","{0, 10720512, 13000320, 5903856, 1315656, 154296, 9144, 216}"
